account_id,cluster_id,cluster_size,confidence_tier,dominant_signal,linking_values
A013026,C00020,2,CERTAIN,email_alias,email_alias=jordan_baker@gmail.com; name=baker jordan
A003098,C00021,2,CERTAIN,email_alias,email_alias=williamrichards@gmail.com; name=richards william
A010031,C00021,2,CERTAIN,email_alias,email_alias=williamrichards@gmail.com; name=richards william
A003180,C00022,2,CERTAIN,email_alias,email_alias=jameshill@gmail.com; name=hill james
A008580,C00022,2,CERTAIN,email_alias,email_alias=jameshill@gmail.com; name=hill james
A003295,C00023,2,CERTAIN,email_alias,email_alias=sarahlopez@gmail.com; name=lopez sarah
A006370,C00023,2,CERTAIN,email_alias,email_alias=sarahlopez@gmail.com; name=lopez sarah
A003344,C00024,2,CERTAIN,email_alias,email_alias=tina_wallace@gmail.com; name=tina wallace
A003457,C00024,2,CERTAIN,email_alias,email_alias=tina_wallace@gmail.com; name=tina wallace
A003428,C00025,2,CERTAIN,email_alias,email_alias=david_wilson@gmail.com; name=david wilson
A012382,C00025,2,CERTAIN,email_alias,email_alias=david_wilson@gmail.com; name=david wilson
A003661,C00026,2,CERTAIN,email_alias,email_alias=michellesmith@gmail.com; name=michelle smith
A006040,C00026,2,CERTAIN,email_alias,email_alias=michellesmith@gmail.com; name=michelle smith
A003951,C00027,2,CERTAIN,email_alias,email_alias=jonathansmith@gmail.com; name=jonathan smith
A006602,C00027,2,CERTAIN,email_alias,email_alias=jonathansmith@gmail.com; name=jonathan smith
A004414,C00028,2,CERTAIN,email_alias,email_alias=josesmith@gmail.com; name=jose smith
A013403,C00028,2,CERTAIN,email_alias,email_alias=josesmith@gmail.com; name=jose smith
A004865,C00029,2,CERTAIN,email_alias,email_alias=scottsmith@gmail.com; name=scott smith
A008809,C00029,2,CERTAIN,email_alias,email_alias=scottsmith@gmail.com; name=scott smith
A005097,C00030,2,CERTAIN,email_alias,email_alias=roberttorres@gmail.com; name=robert torres
A005316,C00030,2,CERTAIN,email_alias,email_alias=roberttorres@gmail.com; name=robert torres
A005505,C00031,2,CERTAIN,email_alias,email_alias=amythomas@gmail.com; name=amy thomas
A007860,C00031,2,CERTAIN,email_alias,email_alias=amythomas@gmail.com; name=amy thomas
A005607,C00032,2,CERTAIN,email_alias,email_alias=thomas_paul@gmail.com; name=paul thomas
A008779,C00032,2,CERTAIN,email_alias,email_alias=thomas_paul@gmail.com; name=paul thomas
A006050,C00033,2,CERTAIN,email_alias,email_alias=derekwilliams@gmail.com; name=derek williams
A009642,C00033,2,CERTAIN,email_alias,email_alias=derekwilliams@gmail.com; name=derek williams
A006336,C00034,2,CERTAIN,email_alias,email_alias=shannonjones@gmail.com; name=jones shannon
A013059,C00034,2,CERTAIN,email_alias,email_alias=shannonjones@gmail.com; name=jones shannon
A006722,C00035,2,CERTAIN,email_alias,email_alias=jason_white@gmail.com; name=jason white
A011068,C00035,2,CERTAIN,email_alias,email_alias=jason_white@gmail.com; name=jason white
A006725,C00036,2,CERTAIN,email_alias,email_alias=christophermendez@gmail.com; name=christopher mendez
A007859,C00036,2,CERTAIN,email_alias,email_alias=christophermendez@gmail.com; name=christopher mendez
A006948,C00037,2,CERTAIN,email_alias,email_alias=rrodriguez@gmail.com; name=robert rodriguez
A014321,C00037,2,CERTAIN,email_alias,email_alias=rrodriguez@gmail.com; name=robert rodriguez
A007112,C00038,2,CERTAIN,email_alias,email_alias=jeffreymelton@gmail.com; name=jeffrey melton
A008854,C00038,2,CERTAIN,email_alias,email_alias=jeffreymelton@gmail.com; name=jeffrey melton
A007213,C00039,2,CERTAIN,email_alias,email_alias=kanderson@gmail.com; name=anderson kimberly
A010572,C00039,2,CERTAIN,email_alias,email_alias=kanderson@gmail.com; name=anderson kimberly
A007806,C00040,2,CERTAIN,email_alias,email_alias=kimberlyjohnson@gmail.com; name=johnson kimberly
A013044,C00040,2,CERTAIN,email_alias,email_alias=kimberlyjohnson@gmail.com; name=johnson kimberly
A007999,C00041,2,CERTAIN,email_alias,email_alias=jenniferwilliams@gmail.com; name=jennifer williams
A012270,C00041,2,CERTAIN,email_alias,email_alias=jenniferwilliams@gmail.com; name=jennifer williams
A008038,C00042,2,CERTAIN,email_alias,email_alias=richardhenderson@gmail.com; name=henderson richard
A009565,C00042,2,CERTAIN,email_alias,email_alias=richardhenderson@gmail.com; name=henderson richard
A008094,C00043,2,CERTAIN,email_alias,email_alias=ryansmith@gmail.com; name=ryan smith
A011333,C00043,2,CERTAIN,email_alias,email_alias=ryansmith@gmail.com; name=ryan smith
A008623,C00044,2,CERTAIN,email_alias,email_alias=eric_tucker@gmail.com; name=eric tucker
A010821,C00044,2,CERTAIN,email_alias,email_alias=eric_tucker@gmail.com; name=eric tucker
A009192,C00045,2,CERTAIN,email_alias,email_alias=johnwilliams@gmail.com; name=john williams
A013600,C00045,2,CERTAIN,email_alias,email_alias=johnwilliams@gmail.com; name=john williams
A009427,C00046,2,CERTAIN,email_alias,email_alias=christopherwhite@gmail.com; name=christopher white
A013242,C00046,2,CERTAIN,email_alias,email_alias=christopherwhite@gmail.com; name=christopher white
A011138,C00047,2,CERTAIN,email_alias,email_alias=anthonyross@gmail.com; name=anthony ross
A012173,C00047,2,CERTAIN,email_alias,email_alias=anthonyross@gmail.com; name=anthony ross
A012439,C00048,2,CERTAIN,email_alias,email_alias=rebeccawilliams@gmail.com; name=rebecca williams
A013621,C00048,2,CERTAIN,email_alias,email_alias=rebeccawilliams@gmail.com; name=rebecca williams
A013079,C00049,2,CERTAIN,email_alias,email_alias=ashleygreen@gmail.com; name=ashley green
A014695,C00049,2,CERTAIN,email_alias,email_alias=ashleygreen@gmail.com; name=ashley green
A013097,C00050,2,CERTAIN,email_alias,email_alias=drobinson@gmail.com; name=daniel robinson
A014456,C00050,2,CERTAIN,email_alias,email_alias=drobinson@gmail.com; name=daniel robinson
A001697,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A003576,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A004565,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A005942,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A009581,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A011735,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A012501,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A013095,C00051,8,CERTAIN,email_alias,email_alias=teresahodges@gmail.com; phone=7704458910
A001308,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A002691,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A002938,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A007585,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A007784,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A008340,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A009291,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A011275,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A012022,C00052,9,CERTAIN,email_alias,device=d_220bd46d2ea158; email_alias=jamiejackson@gmail.com
A001417,C00053,5,CERTAIN,email_alias,addr=4910 W MORRIS AVE 2C||36166; device=d_580557ca3f1297; email_alias=jperez@gmail.com
A006605,C00053,5,CERTAIN,email_alias,addr=4910 W MORRIS AVE 2C||36166; device=d_580557ca3f1297; email_alias=jperez@gmail.com
A009844,C00053,5,CERTAIN,email_alias,addr=4910 W MORRIS AVE 2C||36166; device=d_580557ca3f1297; email_alias=jperez@gmail.com
A013359,C00053,5,CERTAIN,email_alias,addr=4910 W MORRIS AVE 2C||36166; device=d_580557ca3f1297; email_alias=jperez@gmail.com
A013860,C00053,5,CERTAIN,email_alias,addr=4910 W MORRIS AVE 2C||36166; device=d_580557ca3f1297; email_alias=jperez@gmail.com
A000150,C00054,4,CERTAIN,email_alias,email_alias=ajohnson@gmail.com; name=amanda johnson
A008782,C00054,4,CERTAIN,email_alias,email_alias=ajohnson@gmail.com; name=amanda johnson
A009241,C00054,4,CERTAIN,email_alias,email_alias=ajohnson@gmail.com; name=amanda johnson
A011957,C00054,4,CERTAIN,email_alias,email_alias=ajohnson@gmail.com; name=amanda johnson
A003352,C00055,3,CERTAIN,email_alias,email_alias=davidjones@gmail.com; name=david jones
A004694,C00055,3,CERTAIN,email_alias,email_alias=davidjones@gmail.com; name=david jones
A014866,C00055,3,CERTAIN,email_alias,email_alias=davidjones@gmail.com; name=david jones
A000141,C00056,2,CERTAIN,email_alias,email_alias=williamsmith@gmail.com; name=smith william
A007705,C00056,2,CERTAIN,email_alias,email_alias=williamsmith@gmail.com; name=smith william
A001704,C00057,2,CERTAIN,email_alias,email_alias=michaelanderson@gmail.com; name=anderson michael
A002810,C00057,2,CERTAIN,email_alias,email_alias=michaelanderson@gmail.com; name=anderson michael
A003610,C00058,2,CERTAIN,email_alias,email_alias=lisaharris@gmail.com; name=harris lisa
A011246,C00058,2,CERTAIN,email_alias,email_alias=lisaharris@gmail.com; name=harris lisa
A004711,C00059,2,CERTAIN,email_alias,email_alias=christophermiller@gmail.com; name=christopher miller
A007025,C00059,2,CERTAIN,email_alias,email_alias=christophermiller@gmail.com; name=christopher miller
A004939,C00060,2,CERTAIN,email_alias,email_alias=robert_moore@gmail.com; name=moore robert
A010666,C00060,2,CERTAIN,email_alias,email_alias=robert_moore@gmail.com; name=moore robert
A014355,C00061,2,CERTAIN,email_alias,email_alias=elizabethdavis@gmail.com; name=davis elizabeth
A014362,C00061,2,CERTAIN,email_alias,email_alias=elizabethdavis@gmail.com; name=davis elizabeth
A003996,C00062,4,CERTAIN,email_alias,email_alias=jbrown@gmail.com; name=brown james
A008628,C00062,4,CERTAIN,email_alias,email_alias=jbrown@gmail.com; name=brown james
A012904,C00062,4,CERTAIN,email_alias,email_alias=jbrown@gmail.com; name=brown james
A013789,C00062,4,CERTAIN,email_alias,email_alias=jbrown@gmail.com; name=brown james
A006929,C00063,3,CERTAIN,email_alias,email_alias=christopher_smith@gmail.com; name=christopher smith
A010249,C00063,3,CERTAIN,email_alias,email_alias=christopher_smith@gmail.com; name=christopher smith
A012415,C00063,3,CERTAIN,email_alias,email_alias=christopher_smith@gmail.com; name=christopher smith
A001419,C00064,2,CERTAIN,email_alias,email_alias=patriciajohnson@gmail.com; name=johnson patricia
A010939,C00064,2,CERTAIN,email_alias,email_alias=patriciajohnson@gmail.com; name=johnson patricia
A001967,C00065,2,CERTAIN,email_alias,email_alias=davidwright@gmail.com; name=david wright
A014659,C00065,2,CERTAIN,email_alias,email_alias=davidwright@gmail.com; name=david wright
A009154,C00066,2,CERTAIN,email_alias,email_alias=ssmith@gmail.com; name=sarah smith
A011385,C00066,2,CERTAIN,email_alias,email_alias=ssmith@gmail.com; name=sarah smith
A010271,C00067,2,CERTAIN,email_alias,email_alias=joseph_johnson@gmail.com; name=johnson joseph
A014764,C00067,2,CERTAIN,email_alias,email_alias=joseph_johnson@gmail.com; name=johnson joseph
A011633,C00068,2,CERTAIN,email_alias,email_alias=christopher_lee@gmail.com; name=christopher lee
A014290,C00068,2,CERTAIN,email_alias,email_alias=christopher_lee@gmail.com; name=christopher lee
A000977,C00069,2,CERTAIN,email_alias,email_alias=jamessmith@gmail.com; name=james smith
A003855,C00069,2,CERTAIN,email_alias,email_alias=jamessmith@gmail.com; name=james smith
A007921,C00070,2,CERTAIN,email_alias,email_alias=davidsmith@gmail.com; name=david smith
A008217,C00070,2,CERTAIN,email_alias,email_alias=davidsmith@gmail.com; name=david smith
A000965,C00071,4,CERTAIN,email_alias,email_alias=davidjohnson@gmail.com; name=david johnson
A004762,C00071,4,CERTAIN,email_alias,email_alias=davidjohnson@gmail.com; name=david johnson
A006604,C00071,4,CERTAIN,email_alias,email_alias=davidjohnson@gmail.com; name=david johnson
A009112,C00071,4,CERTAIN,email_alias,email_alias=davidjohnson@gmail.com; name=david johnson
A000329,C00072,3,CERTAIN,email_alias,device=d_803d539c5e05b4; email_alias=hjones@gmail.com
A001089,C00072,3,CERTAIN,email_alias,device=d_803d539c5e05b4; email_alias=hjones@gmail.com
A008713,C00072,3,CERTAIN,email_alias,device=d_803d539c5e05b4; email_alias=hjones@gmail.com
A000317,C00073,5,CERTAIN,email_alias,email_alias=mjohnson@gmail.com
A004634,C00073,5,CERTAIN,email_alias,email_alias=mjohnson@gmail.com
A008662,C00073,5,CERTAIN,email_alias,email_alias=mjohnson@gmail.com
A012937,C00073,5,CERTAIN,email_alias,email_alias=mjohnson@gmail.com
A014115,C00073,5,CERTAIN,email_alias,email_alias=mjohnson@gmail.com
A000366,C00074,4,CERTAIN,email_alias,email_alias=dgarcia@gmail.com
A006292,C00074,4,CERTAIN,email_alias,email_alias=dgarcia@gmail.com
A006328,C00074,4,CERTAIN,email_alias,email_alias=dgarcia@gmail.com
A013858,C00074,4,CERTAIN,email_alias,email_alias=dgarcia@gmail.com
A000396,C00075,4,CERTAIN,email_alias,email_alias=dmd@gmail.com
A005864,C00075,4,CERTAIN,email_alias,email_alias=dmd@gmail.com
A006925,C00075,4,CERTAIN,email_alias,email_alias=dmd@gmail.com
A008514,C00075,4,CERTAIN,email_alias,email_alias=dmd@gmail.com
A000639,C00076,4,CERTAIN,email_alias,email_alias=cthomas@gmail.com
A006059,C00076,4,CERTAIN,email_alias,email_alias=cthomas@gmail.com
A011433,C00076,4,CERTAIN,email_alias,email_alias=cthomas@gmail.com
A011647,C00076,4,CERTAIN,email_alias,email_alias=cthomas@gmail.com
A002519,C00077,4,CERTAIN,email_alias,email_alias=mmd@gmail.com
A007000,C00077,4,CERTAIN,email_alias,email_alias=mmd@gmail.com
A013672,C00077,4,CERTAIN,email_alias,email_alias=mmd@gmail.com
A014965,C00077,4,CERTAIN,email_alias,email_alias=mmd@gmail.com
A002598,C00078,4,CERTAIN,email_alias,email_alias=msmith@gmail.com
A002830,C00078,4,CERTAIN,email_alias,email_alias=msmith@gmail.com
A007165,C00078,4,CERTAIN,email_alias,email_alias=msmith@gmail.com
A013696,C00078,4,CERTAIN,email_alias,email_alias=msmith@gmail.com
A000161,C00079,3,CERTAIN,email_alias,email_alias=jhall@gmail.com
A004210,C00079,3,CERTAIN,email_alias,email_alias=jhall@gmail.com
A009046,C00079,3,CERTAIN,email_alias,email_alias=jhall@gmail.com
A000626,C00080,3,CERTAIN,email_alias,email_alias=kmartinez@gmail.com
A007264,C00080,3,CERTAIN,email_alias,email_alias=kmartinez@gmail.com
A014027,C00080,3,CERTAIN,email_alias,email_alias=kmartinez@gmail.com
A001256,C00081,3,CERTAIN,email_alias,email_alias=amartin@gmail.com
A006275,C00081,3,CERTAIN,email_alias,email_alias=amartin@gmail.com
A009294,C00081,3,CERTAIN,email_alias,email_alias=amartin@gmail.com
A001594,C00082,3,CERTAIN,email_alias,email_alias=kjones@gmail.com
A004133,C00082,3,CERTAIN,email_alias,email_alias=kjones@gmail.com
A014923,C00082,3,CERTAIN,email_alias,email_alias=kjones@gmail.com
A002022,C00083,3,CERTAIN,email_alias,email_alias=cbrown@gmail.com
A010056,C00083,3,CERTAIN,email_alias,email_alias=cbrown@gmail.com
A013585,C00083,3,CERTAIN,email_alias,email_alias=cbrown@gmail.com
A002445,C00084,3,CERTAIN,email_alias,email_alias=kwilson@gmail.com
A003663,C00084,3,CERTAIN,email_alias,email_alias=kwilson@gmail.com
A013103,C00084,3,CERTAIN,email_alias,email_alias=kwilson@gmail.com
A002742,C00085,3,CERTAIN,email_alias,email_alias=sjohnson@gmail.com
A006936,C00085,3,CERTAIN,email_alias,email_alias=sjohnson@gmail.com
A014821,C00085,3,CERTAIN,email_alias,email_alias=sjohnson@gmail.com
A003553,C00086,3,CERTAIN,email_alias,email_alias=jlee@gmail.com
A007577,C00086,3,CERTAIN,email_alias,email_alias=jlee@gmail.com
A012312,C00086,3,CERTAIN,email_alias,email_alias=jlee@gmail.com
A003618,C00087,3,CERTAIN,email_alias,email_alias=amoore@gmail.com
A004182,C00087,3,CERTAIN,email_alias,email_alias=amoore@gmail.com
A009340,C00087,3,CERTAIN,email_alias,email_alias=amoore@gmail.com
A003892,C00088,3,CERTAIN,email_alias,email_alias=rjohnson@gmail.com
A005685,C00088,3,CERTAIN,email_alias,email_alias=rjohnson@gmail.com
A014872,C00088,3,CERTAIN,email_alias,email_alias=rjohnson@gmail.com
A004188,C00089,3,CERTAIN,email_alias,email_alias=aclark@gmail.com
A005845,C00089,3,CERTAIN,email_alias,email_alias=aclark@gmail.com
A008078,C00089,3,CERTAIN,email_alias,email_alias=aclark@gmail.com
A004208,C00090,3,CERTAIN,email_alias,email_alias=mhernandez@gmail.com
A004374,C00090,3,CERTAIN,email_alias,email_alias=mhernandez@gmail.com
A006649,C00090,3,CERTAIN,email_alias,email_alias=mhernandez@gmail.com
A004625,C00091,3,CERTAIN,email_alias,email_alias=jking@gmail.com
A004631,C00091,3,CERTAIN,email_alias,email_alias=jking@gmail.com
A012303,C00091,3,CERTAIN,email_alias,email_alias=jking@gmail.com
A004788,C00092,3,CERTAIN,email_alias,email_alias=cjohnson@gmail.com
A007525,C00092,3,CERTAIN,email_alias,email_alias=cjohnson@gmail.com
A008445,C00092,3,CERTAIN,email_alias,email_alias=cjohnson@gmail.com
A005255,C00093,3,CERTAIN,email_alias,email_alias=rbrown@gmail.com
A009382,C00093,3,CERTAIN,email_alias,email_alias=rbrown@gmail.com
A010121,C00093,3,CERTAIN,email_alias,email_alias=rbrown@gmail.com
A005344,C00094,3,CERTAIN,email_alias,email_alias=rwhite@gmail.com
A006552,C00094,3,CERTAIN,email_alias,email_alias=rwhite@gmail.com
A010057,C00094,3,CERTAIN,email_alias,email_alias=rwhite@gmail.com
A005671,C00095,3,CERTAIN,email_alias,email_alias=adavis@gmail.com
A007539,C00095,3,CERTAIN,email_alias,email_alias=adavis@gmail.com
A011448,C00095,3,CERTAIN,email_alias,email_alias=adavis@gmail.com
A005785,C00096,3,CERTAIN,email_alias,email_alias=aroberts@gmail.com
A009220,C00096,3,CERTAIN,email_alias,email_alias=aroberts@gmail.com
A009354,C00096,3,CERTAIN,email_alias,email_alias=aroberts@gmail.com
A005972,C00097,3,CERTAIN,email_alias,email_alias=jrivera@gmail.com
A009164,C00097,3,CERTAIN,email_alias,email_alias=jrivera@gmail.com
A011747,C00097,3,CERTAIN,email_alias,email_alias=jrivera@gmail.com
A006554,C00098,3,CERTAIN,email_alias,email_alias=jwade@gmail.com
A007395,C00098,3,CERTAIN,email_alias,email_alias=jwade@gmail.com
A014739,C00098,3,CERTAIN,email_alias,email_alias=jwade@gmail.com
A007455,C00099,3,CERTAIN,email_alias,email_alias=jharris@gmail.com
A012537,C00099,3,CERTAIN,email_alias,email_alias=jharris@gmail.com
A013899,C00099,3,CERTAIN,email_alias,email_alias=jharris@gmail.com
A007931,C00100,3,CERTAIN,email_alias,email_alias=arogers@gmail.com
A008759,C00100,3,CERTAIN,email_alias,email_alias=arogers@gmail.com
A013146,C00100,3,CERTAIN,email_alias,email_alias=arogers@gmail.com
A008315,C00101,3,CERTAIN,email_alias,email_alias=jthompson@gmail.com
A013488,C00101,3,CERTAIN,email_alias,email_alias=jthompson@gmail.com
A014223,C00101,3,CERTAIN,email_alias,email_alias=jthompson@gmail.com
A008679,C00102,3,CERTAIN,email_alias,email_alias=mbrown@gmail.com
A009320,C00102,3,CERTAIN,email_alias,email_alias=mbrown@gmail.com
A011681,C00102,3,CERTAIN,email_alias,email_alias=mbrown@gmail.com
A000057,C00103,2,CERTAIN,email_alias,email_alias=njackson@gmail.com
A014479,C00103,2,CERTAIN,email_alias,email_alias=njackson@gmail.com
A000065,C00104,2,CERTAIN,email_alias,email_alias=mwells@gmail.com
A005076,C00104,2,CERTAIN,email_alias,email_alias=mwells@gmail.com
A000072,C00105,2,CERTAIN,email_alias,email_alias=jhill@gmail.com
A003158,C00105,2,CERTAIN,email_alias,email_alias=jhill@gmail.com
A000097,C00106,2,CERTAIN,email_alias,email_alias=nthomas@gmail.com
A002657,C00106,2,CERTAIN,email_alias,email_alias=nthomas@gmail.com
A000166,C00107,2,CERTAIN,email_alias,email_alias=chall@gmail.com
A004048,C00107,2,CERTAIN,email_alias,email_alias=chall@gmail.com
A000262,C00108,2,CERTAIN,email_alias,email_alias=jhernandez@gmail.com
A009242,C00108,2,CERTAIN,email_alias,email_alias=jhernandez@gmail.com
A000294,C00109,2,CERTAIN,email_alias,email_alias=jwoods@gmail.com
A009073,C00109,2,CERTAIN,email_alias,email_alias=jwoods@gmail.com
A000335,C00110,2,CERTAIN,email_alias,email_alias=kgray@gmail.com
A006506,C00110,2,CERTAIN,email_alias,email_alias=kgray@gmail.com
A000487,C00111,2,CERTAIN,email_alias,email_alias=rtaylor@gmail.com
A002380,C00111,2,CERTAIN,email_alias,email_alias=rtaylor@gmail.com
A000517,C00112,2,CERTAIN,email_alias,email_alias=swalker@gmail.com
A007044,C00112,2,CERTAIN,email_alias,email_alias=swalker@gmail.com
A000622,C00113,2,CERTAIN,email_alias,email_alias=jgomez@gmail.com
A001398,C00113,2,CERTAIN,email_alias,email_alias=jgomez@gmail.com
A000711,C00114,2,CERTAIN,email_alias,email_alias=rjr@gmail.com
A010357,C00114,2,CERTAIN,email_alias,email_alias=rjr@gmail.com
A000873,C00115,2,CERTAIN,email_alias,email_alias=rcarter@gmail.com
A010312,C00115,2,CERTAIN,email_alias,email_alias=rcarter@gmail.com
A000876,C00116,2,CERTAIN,email_alias,email_alias=sstewart@gmail.com
A013415,C00116,2,CERTAIN,email_alias,email_alias=sstewart@gmail.com
A001081,C00117,2,CERTAIN,email_alias,email_alias=cmd@gmail.com
A013279,C00117,2,CERTAIN,email_alias,email_alias=cmd@gmail.com
A001219,C00118,2,CERTAIN,email_alias,email_alias=kberry@gmail.com
A009882,C00118,2,CERTAIN,email_alias,email_alias=kberry@gmail.com
A001285,C00119,2,CERTAIN,email_alias,email_alias=mjackson@gmail.com
A005559,C00119,2,CERTAIN,email_alias,email_alias=mjackson@gmail.com
A001478,C00120,2,CERTAIN,email_alias,email_alias=kwilliamson@gmail.com
A011781,C00120,2,CERTAIN,email_alias,email_alias=kwilliamson@gmail.com
A001503,C00121,2,CERTAIN,email_alias,email_alias=scameron@gmail.com
A008680,C00121,2,CERTAIN,email_alias,email_alias=scameron@gmail.com
A001505,C00122,2,CERTAIN,email_alias,email_alias=mruiz@gmail.com
A008376,C00122,2,CERTAIN,email_alias,email_alias=mruiz@gmail.com
A001770,C00123,2,CERTAIN,email_alias,email_alias=jjackson@gmail.com
A011354,C00123,2,CERTAIN,email_alias,email_alias=jjackson@gmail.com
A001788,C00124,2,CERTAIN,email_alias,email_alias=rwilson@gmail.com
A004997,C00124,2,CERTAIN,email_alias,email_alias=rwilson@gmail.com
A001968,C00125,2,CERTAIN,email_alias,email_alias=williammd@gmail.com
A011956,C00125,2,CERTAIN,email_alias,email_alias=williammd@gmail.com
A002000,C00126,2,CERTAIN,email_alias,email_alias=kmorgan@gmail.com
A003813,C00126,2,CERTAIN,email_alias,email_alias=kmorgan@gmail.com
