account_id,signup_ts,full_name,email,phone,addr_line1,addr_line2,city,state,zip,ip_address,payment_bin,card_last4,device_hash,user_agent
A000021,2026-04-14 06:37:25,Jay Barber,jaybarber65@yahoo.com,1-670-544-3262,7897 Mccoy Ln,,North Jasonfort,MP,33567,72.95.222.158,542418,7245,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000022,2026-05-01 12:18:16,Zachary Proctor,zacharyproctor12@outlook.com,1-384-944-2639,5951 NW Blackwell Ln,,South Johnborough,MT,11165,66.166.217.226,542418,4717,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000023,2026-04-21 03:10:49,Leah Craig,craigl457@gmail.com,+17493165408,8473 Scott Rd,Apt 2B,Williamchester,ID,25434,72.140.200.123,,,d_e4deed4e8f7ec1,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000024,2026-04-04 18:02:48,Denise Whitaker,denise.whitaker@gmail.com,325-287-4472,4595 Glenn St,,Lake Nicoleland,UT,22935,47.125.153.120,,,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000025,2026-03-12 05:36:08,Rebecca Smith,smithr98@icloud.com,(494) 543-6372,4355 SE Bryant Ave,Apt 5A,North Jessicaville,NJ,73643,96.87.146.82,400022,1978,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000026,2026-04-26 15:45:19,Michael Riley,michael.riley@outlook.com,1-775-895-7843,3415 Vinceent Blvd.,#22,West Michaelview,OK,16120,100.64.2.209,,,d_16d1214ca2f952,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000027,2026-04-24 06:25:53,Clifford Adams,clifford.adams@yahoo.com,8973603210,3036 Miller Ln,,Lake Crystalbury,NC,57647,24.26.216.64,551149,3025,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000028,2026-04-06 08:15:45,Jonathan Martinez,jonathan_martinez@aol.com,,6005 Baker Street,,Heatherton,RI,29526,98.124.198.226,,,d_34b54f189c7dee,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000029,2026-05-20 11:22:18,Suzanne Mendoza,smendoza@outlook.com,,3781 Castaneda St,Apt 36,Brendaland,PR,65048,47.180.84.47,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000030,2026-05-23 01:16:24,Debra Mccoy,debra.mccoy@gmail.com,+17827159007,3238 Estrada St,,Hannamouth,AL,65507,71.175.189.175,,,d_5c42b05c3bbf09,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000031,2026-05-04 10:10:07,Michelle Jefferson,jeffersonm527@icloud.com,1-606-355-4419,"829 Baxter St.,",Unit 1F,South Monica,MT,15394,71.3.240.29,440066,2323,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000032,2026-05-15 03:41:06,Michael Moore,moorem408@gmail.com,(944) 610-2310,1280 Mendoza Dr.,Suite 8E,Villanuevahaven,HI,74497,209.164.99.164,542418,8825,d_b633e64899ae48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000033,2026-04-19 01:27:11,William Myers,william_myers@gmail.com,4889632644,8552 Barnes Dr,,Benjaminborough,WY,92747,72.137.66.173,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000034,2026-04-14 16:53:47,Michael Perry,michael_perry@gmail.com,+14704851137,1738 Tereell Street,,Mcguireport,AZ,14315-7083,96.95.116.144,,,d_21af6e584902d3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000035,2026-03-24 21:03:08,Nicholas Jones,nicholas_jones@yahoo.com,1-238-571-2549,7392 Gray Ave,,Ryanstad,MP,80035,205.201.38.146,542418,5142,d_97e2e9031e8f82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000036,2026-04-22 10:13:08,Karl Ibarra,karl_ibarra@outlook.com,+15354852287,1592 Carrokl Place,,Ericland,KS,93708-9100,184.227.228.16,440066,1744,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000037,2026-05-04 15:51:46,Michael Harrison,michael.harrison@gmail.com,782-310-9813,4745 Torres Ln,Apt 4B,Heathertown,PA,19468,205.106.110.211,453245,9666,d_56818264432c5b,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000038,2026-05-02 20:35:38,Paul Morris,morrisp392@outlook.com,+17128468851,3471 Northeast Montgomery Ave.,,Elizabethfurt,AR,23947-3467,73.126.204.60,601100,5836,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000039,2026-05-01 09:47:42,William Williams,428t870g68@duck.com,+18502418163,5631 Barnes Rd,,Andrewview,TN,47981,205.60.20.232,440066,6615,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000040,2026-05-26 20:51:42,Sarah Thompson,sarah.thompson@gmail.com,(934) 635-8817,3387 Miller Ct,,Lake Jared,MI,51029,184.57.209.117,551149,1992,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000041,2026-04-21 20:35:37,Chloe Joseph,chloe_joseph@aol.com,(324) 468-7656, 722 Cooely Road,APT 4C,Wilsonport,AK,49079,174.194.205.60,414720,5753,d_44bc308f219b37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000042,2026-04-24 03:19:20,Donald Jackson,donaldjackson16@gmail.com,(709) 465-7662,8559 NW Sullivan Blvd,Apt 4B,Oliviatown,FM,18764,146.75.187.88,483316,1551,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000043,2026-03-07 08:12:32,William Hancock,v9y1qvzjfj6ry@mozmail.com,289-437-1597,5734 Newton St,Apt 9E,New Michael,OR,18619,66.77.156.27,542418,9073,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000044,2026-03-26 02:18:31,Shawn Rangel,shawnrangel98@gmail.com,867.211.8745,2256 Love Blvd,,Ashleyview,WI,99262,209.223.153.62,400022,6219,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000045,2026-03-28 12:32:30,Marisa Haas,marisa_haas@gmail.com,(786) 464-7100,4453 Lam Dr,,New Robert,NE,91275,205.61.203.252,542418,7677,d_f2f2694d770008,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000046,2026-04-14 20:13:10,Douglas Hill,dhill@gmail.com,260-701-2470,2066 Boyd Pl,Apt 48,Mcbridebury,MD,74678,209.158.177.176,453245,0496,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000047,2026-03-23 01:43:11,Tammy Cabrera,tammycabrera78@gmail.com,+14899927688,803 ANDEESON DR.,,East Anthonyside,HI,15627,24.64.212.1,,,d_9cfdc4a98f2cae,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000048,2026-04-19 08:55:31,Ashley Thompson,ashleythompson87@icloud.com,+19316974062,6989 Mccullough Blvd,,North Frankbury,MS,37895,63.140.185.217,,,d_9ffa5b78ff74c3,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000049,2026-05-12 04:48:09,Suzanne Vega,suzannevega13@gmail.com,783.693.7622, 1622 E Jones Ln.,APT 19,North Jessicafort,NY,11188-6999,66.38.84.66,,,d_1c73066f0c0c06,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000050,2026-04-08 19:53:03,Caleb Cruz II,calebii@aol.com,,5130 Thomas Ave,Apt 10,Port Emily,OH,44551,63.40.15.124,453245,1270,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000051,2026-03-02 17:26:16,Richard Flynn,flynnr133@yahoo.com,448-960-9167,2774 Nichols Pl,Apt 2E,Lake Brendashire,VA,79952,96.214.206.166,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000052,2026-05-27 19:45:32,Christopher Lyons,christopherlyons@gmail.com,,9192 ASHLEY DR,Unit 32,Christineborough,NJ,25269-9349,174.76.76.251,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000053,2026-04-25 18:37:16,Troy Dean,tdean@gmail.com,(562) 449-7137,"4468 White Drive,",,Lake Charlesland,OR,50228-6142,184.118.2.142,414720,9185,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000054,2026-04-06 11:58:24,Pamela Davis,davisp954@gmail.com,+16737451445,3751 Southeast Durham Pl Apt 29,,East Howard,FM,73147-8695,71.58.102.33,,,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000055,2026-05-24 06:43:30,Christopher Ford,cford@outlook.com,700.961.6167,8399 Hebert Rd,,Port Courtneyview,OK,21235,96.79.123.14,426684,1811,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000056,2026-04-10 12:43:17,Angela Adams,angelaadams@gmail.com,,7690 Holland Court,,Port Tanyaland,NV,71981,24.92.221.133,426684,2087,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000057,2026-05-05 17:52:43,Nathaniel Jackson,nj.ackson+deals@gmail.com,,8055 Davis Pl,Apt 41,West Melissa,SD,23748,73.116.157.58,453245,2231,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000058,2026-05-17 10:58:24,Jacqueline Hoffman,jacquelinehoffman@aol.com,,3211 SE Arias Ct,,New Curtis,VI,48892,98.53.164.128,521853,1591,d_7bfa6c5067c356,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000059,2026-04-21 23:18:53,Courtney Webb,webbc723@outlook.com,,4008 Ramirez Blvd.,Apt 2E,Port Derek,CT,33806,205.17.252.25,,,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000060,2026-03-14 19:45:23,Jennifer Johnson,jennifer.johnson@gmail.com,+17287287278,8600 N Allen Rd,Apt 8E,North Brooke,MN,43975,205.197.203.170,521853,7882,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000061,2026-03-17 02:43:13,Xavier Mccormick,xaviermccormick@aol.com,300-504-3614,5749 E Walker Blvd,,New Aaron,PA,12633,66.102.152.116,414720,5404,d_ab5a6c1d9877bd,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000062,2026-04-21 20:08:41,William Lee,williamlee37@gmail.com,1-317-879-6385,6992 Garcia Rd,Apt 2E,West Johnfort,DC,37683,174.22.161.106,521853,9656,d_d5599db4cf9b4e,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000063,2026-04-25 09:55:14,Tiffany Mccann,tmccann@icloud.com,674.761.7014,8540 Zamora Pl,Apt 47,Montoyachester,WI,30934,96.240.66.228,400022,1596,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000064,2026-04-04 01:35:19,Kelsey Stewart,kstewart@hotmail.com,+12242357594,7215 Salazar Ave,,South Andrew,NM,93075,73.68.94.211,483316,5802,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000065,2026-05-02 23:42:57,Mr. Thomas Wells,mw.ells+new@gmail.com,,9149 Reed Ave,,Michaelfurt,MI,39068,98.1.18.181,,,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000066,2026-03-16 19:45:01,Sarah Payne,sarah.payne@hotmail.com,219-772-4343,6017 Wilson Rd,,Collinston,IA,21286,24.144.112.222,601100,2907,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000067,2026-05-20 18:44:41,Wesley Maxwell,wesley.maxwell@hotmail.com,+17978642493,2628 NE Tucker Blvd,Apt 27,Lake Kelly,FL,34620,146.75.146.135,521853,7818,d_f89a55b6bb973f,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000068,2026-03-04 21:51:41,Chelsea Garcia,chelseagarcia@comcast.net,374-611-3644,37 Chandler Ave,,South Alexander,RI,39644,71.227.64.149,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000069,2026-05-02 08:25:53,Rachel Allen,rachelallen83@gmail.com,232-382-6600,8187 W White Road Unit 12,,Hahnmouth,VT,62782-7930,184.71.242.81,414720,3594,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000070,2026-04-08 03:38:52,David Holmes,davidholmes81@icloud.com,853.440.2009,8857 Riley Ave,Apt 48,North Christopher,MD,37074,24.171.195.54,453245,7893,d_3b60f1ddb50ee4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000071,2026-04-22 18:02:35,Jennifer Pena,jennifer_pena@proton.me,(820) 490-4362,8795 Ortiz Blvd,,South Davidville,DE,97032,73.202.244.226,426684,3332,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000072,2026-05-29 13:11:39,John Hill,j.hill+deals@gmail.com,(610) 885-9303,8879 WATSON AVE,,West Renee,SC,90836,72.218.211.165,411111,3502,d_131e857aa9ca3f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
A000073,2026-03-12 03:10:36,Andrew Smith,asmith@icloud.com,,1751 N Edwards Ct,,Pereztown,KS,44224,98.49.124.29,,,d_954f25d7ac3c23,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000074,2026-03-21 17:03:28,Philip Morton,philipmorton@yahoo.com,+14904295939,5639 Wise Ct,Apt 4C,Lake Michaelport,MT,39645,198.147.87.83,483316,1460,,"Mozilla/5.0 (Linux; Android 15; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
A000075,2026-04-19 17:17:31,Dawn Evans,dawn.evans@outlook.com,,736 Pearson Blvd,,Melissaview,SD,36841,24.77.227.59,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000076,2026-03-24 09:55:13,Anthony Cole,5c0ydieda5hwu@duck.com,1-294-824-9552,6132 Gibson Street,,Billyborough,NJ,95056-6130,24.144.127.16,601100,3789,d_5fd7b166ca9488,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000077,2026-04-18 03:21:52,Joseph Coleman,joseph_coleman@gmail.com,5856928238,3822 Mcconnell Blvd,,New Maria,RI,37142,96.62.7.131,400022,7799,,"Mozilla/5.0 (iPad; CPU OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
A000078,2026-04-19 20:08:42,Oscar Williams,williamso944@gmail.com,,1436 NE Simpson St,,South Davidton,FL,90548,205.34.121.227,414720,8012,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0
A000079,2026-05-11 19:14:44,Jamie Newman,jamienewman44@gmail.com,(718) 556-7442,1058 Murphy Blvd,Apt 5E,East Carlmouth,OH,51595,209.83.71.9,426684,4808,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
A000080,2026-03-28 23:53:30,Michelle Price,7ziv7ueevu@duck.com,987.635.9577,3401 Krause Ln,,New Lawrencestad,AZ,30576,72.232.101.34,453245,6946,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
A000081,2026-04-06 03:48:54,Jessica Rodriguez,jessica.rodriguez@gmail.com,,6350 Ortiz Dr,Apt 4B,Martinezborough,KS,15695,72.184.68.43,,,d_cdc9e7c6406d23,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
A000082,2026-03-26 07:45:06,William Shaw,william_shaw@hotmail.com,(449) 686-4324,4821 R smsey Ln.,,Brooketon,PW,78047,205.204.91.174,551149,3617,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"
